MESS_DATUM,Ahr_cumsum,Erft_cumsum,Ruhr_cumsum,Rur_cumsum,Wupper_cumsum,Total
2021-07-12 12:00:00,,,,,,
2021-07-12 13:00:00,0,0,0,0,0,0
2021-07-12 14:00:00,0,0,0,0,0,0
2021-07-12 15:00:00,0,0,0,1.6,0,1.6
2021-07-12 16:00:00,0,0,0,1.6,0,1.6
2021-07-12 17:00:00,0,0,0,1.6,0,1.6
2021-07-12 18:00:00,0,0,0,1.6,0,1.6
2021-07-12 19:00:00,0,0,0,1.6,0,1.6
2021-07-12 20:00:00,0,0,0,1.6,0,1.6
2021-07-12 21:00:00,0,0,0,1.6,0,1.6
2021-07-12 22:00:00,0,0,0,1.6,0,1.6
2021-07-12 23:00:00,1.4,0,0,1.6,0,3
2021-07-13 00:00:00,5.5,0,0,1.6,0,7.1
2021-07-13 01:00:00,5.8,0.8,0,1.6,0,8.2
2021-07-13 02:00:00,6.5,5.1,0,1.6,0,13.2
2021-07-13 03:00:00,6.7,6.9,0,1.6,0,15.2
2021-07-13 04:00:00,6.7,8.7,0.5,1.6,0.6,18.1
2021-07-13 05:00:00,7.4,9.8,0.7,1.6,1,20.5
2021-07-13 06:00:00,8,11.5,3.1,1.6,1.5,25.7
2021-07-13 07:00:00,8.2,13.6,5.5,2.2,3,32.5
2021-07-13 08:00:00,8.2,14.1,7.1,3.5,4.8,37.7
2021-07-13 09:00:00,8.2,14.1,7.6,5.7,4.9,40.5
2021-07-13 10:00:00,8.4,14.3,7.7,7.1,4.9,42.4
2021-07-13 11:00:00,8.4,14.5,7.7,7.2,4.9,42.7
2021-07-13 12:00:00,8.4,14.5,7.7,8.7,4.9,44.2
2021-07-13 13:00:00,8.4,14.5,7.7,9.3,4.9,44.8
2021-07-13 14:00:00,8.4,14.5,7.7,9.3,4.9,44.8
2021-07-13 15:00:00,8.4,14.5,7.8,9.3,4.9,44.9
2021-07-13 16:00:00,8.4,15.1,7.8,9.3,5.3,45.9
2021-07-13 17:00:00,8.4,16.7,7.8,9.3,5.4,47.6
2021-07-13 18:00:00,8.4,16.7,7.8,12.8,5.4,51.1
2021-07-13 19:00:00,8.4,16.7,7.8,13.7,5.4,52
2021-07-13 20:00:00,22.9,16.7,7.8,13.7,5.4,66.5
2021-07-13 21:00:00,23.3,18.5,8,13.7,5.5,69
2021-07-13 22:00:00,23.3,38.2,8,13.7,5.5,88.7
2021-07-13 23:00:00,23.3,38.2,8,13.7,5.5,88.7
2021-07-14 00:00:00,23.3,38.2,29.7,14.6,5.5,111.3
2021-07-14 01:00:00,23.3,38.2,33.6,18.7,5.5,119.3
2021-07-14 02:00:00,23.3,38.2,44.2,20.6,6.9,133.2
2021-07-14 03:00:00,23.3,38.2,76.8,21.9,9.1,169.3
2021-07-14 04:00:00,23.3,38.2,77.4,22,11.4,172.3
2021-07-14 05:00:00,23.3,38.2,77.8,22.1,15.5,176.9
2021-07-14 06:00:00,23.3,39,77.9,22.7,39.2,202.1
2021-07-14 07:00:00,24.3,39.6,81.6,25.1,56.1,226.7
2021-07-14 08:00:00,25,40.1,84.8,36.4,65.1,251.4
2021-07-14 09:00:00,26.1,42.6,87.1,42.3,75.6,273.7
2021-07-14 10:00:00,26.2,45.4,90.6,46.1,78.7,287
2021-07-14 11:00:00,27.3,50,91.9,47.6,85.7,302.5
2021-07-14 12:00:00,35.5,54,95.9,50.6,86.9,322.9
2021-07-14 13:00:00,40.6,59.9,105.9,59.8,97.2,363.4
2021-07-14 14:00:00,47.3,64.6,116.9,78.2,108.1,415.1
2021-07-14 15:00:00,55.6,75.5,121.2,78.7,123.3,454.3
2021-07-14 16:00:00,62.1,83.7,124.3,78.8,130.2,479.1
2021-07-14 17:00:00,71.3,89,128.2,78.8,147.5,514.8
2021-07-14 18:00:00,77,99.8,130.3,78.8,161,546.9
2021-07-14 19:00:00,81.9,110.4,130.4,79.4,167.7,569.8
2021-07-14 20:00:00,86.7,150.7,130.4,83.5,167.8,619.1
2021-07-14 21:00:00,90.5,153.3,130.4,86.1,167.9,628.2
2021-07-14 22:00:00,90.5,153.5,130.4,87.3,167.9,629.6
2021-07-14 23:00:00,90.5,153.5,130.4,89.3,167.9,631.6
2021-07-15 00:00:00,90.5,153.5,130.4,92.8,167.9,635.1
2021-07-15 01:00:00,90.5,153.5,130.4,93.3,167.9,635.6
2021-07-15 02:00:00,90.5,153.5,130.4,93.6,167.9,635.9
2021-07-15 03:00:00,90.5,153.5,130.4,96.6,167.9,638.9
2021-07-15 04:00:00,90.5,153.5,130.4,97.6,167.9,639.9
2021-07-15 05:00:00,90.5,153.5,130.4,100.5,167.9,642.8
2021-07-15 06:00:00,90.5,153.5,130.4,101,167.9,643.3
2021-07-15 07:00:00,90.5,153.5,130.4,105.6,167.9,647.9
2021-07-15 08:00:00,90.5,153.5,130.4,108.2,167.9,650.5
2021-07-15 09:00:00,90.5,153.5,130.4,108.4,167.9,650.7
2021-07-15 10:00:00,90.5,153.5,130.4,108.7,167.9,651
2021-07-15 11:00:00,90.5,153.5,130.4,108.9,167.9,651.2
2021-07-15 12:00:00,90.5,153.5,130.4,109.2,167.9,651.5
